slip_ratio,pacejka_fx_over_fz,linear_fx_over_fz,linear_error
2.060000000000000199e-03,7.143375294157038036e-02,6.775726029721954036e-02,-3.676492644350840000e-03
2.070000000000000225e-03,7.177945660027960917e-02,6.808617903652643133e-02,-3.693277563753177839e-03
2.080000000000000251e-03,7.212514487219050252e-02,6.841509777583332230e-02,-3.710047096357180219e-03
2.090000000000000278e-03,7.247081768402323376e-02,6.874401651514021327e-02,-3.726801168883020487e-03
2.100000000000000304e-03,7.281647496251304752e-02,6.907293525444710425e-02,-3.743539708065943272e-03
2.110000000000000330e-03,7.316211663441048174e-02,6.940185399375399522e-02,-3.760262640656486521e-03
2.120000000000000356e-03,7.350774262648122892e-02,6.973077273306088619e-02,-3.776969893420342728e-03
2.130000000000000383e-03,7.385335286550637202e-02,7.005969147236777717e-02,-3.793661393138594851e-03
2.139999999999999975e-03,7.419894727828237058e-02,7.038861021167465426e-02,-3.810337066607716316e-03
2.150000000000000001e-03,7.454452579162121340e-02,7.071752895098155911e-02,-3.826996840639654285e-03
2.160000000000000028e-03,7.489008833235034912e-02,7.104644769028845008e-02,-3.843640642061899038e-03
2.170000000000000054e-03,7.523563482731286667e-02,7.137536642959534106e-02,-3.860268397717525612e-03
2.180000000000000080e-03,7.558116520336755073e-02,7.170428516890223203e-02,-3.876880034465318703e-03
2.190000000000000106e-03,7.592667938738893729e-02,7.203320390820912300e-02,-3.893475479179814291e-03
2.200000000000000133e-03,7.627217730626738301e-02,7.236212264751601397e-02,-3.910054658751369039e-03
2.210000000000000159e-03,7.661765888690909299e-02,7.269104138682290495e-02,-3.926617500086188040e-03
2.220000000000000185e-03,7.696312405623627340e-02,7.301996012612979592e-02,-3.943163930106477477e-03
2.230000000000000211e-03,7.730857274118720091e-02,7.334887886543668689e-02,-3.959693875750514014e-03
2.240000000000000237e-03,7.765400486871619490e-02,7.367779760474357786e-02,-3.976207263972617034e-03
2.250000000000000264e-03,7.799942036579375626e-02,7.400671634405046884e-02,-3.992704021743287424e-03
2.260000000000000290e-03,7.834481915940665064e-02,7.433563508335735981e-02,-4.009184076049290835e-03
2.270000000000000316e-03,7.869020117655792235e-02,7.466455382266425078e-02,-4.025647353893671565e-03
2.280000000000000342e-03,7.903556634426700533e-02,7.499347256197114175e-02,-4.042093782295863580e-03
2.290000000000000369e-03,7.938091458956982038e-02,7.532239130127803273e-02,-4.058523288291787656e-03
2.300000000000000395e-03,7.972624583951876120e-02,7.565131004058492370e-02,-4.074935798933837505e-03
2.309999999999999987e-03,8.007156002118283322e-02,7.598022877989180079e-02,-4.091331241291032428e-03
2.320000000000000014e-03,8.041685706164770908e-02,7.630914751919870564e-02,-4.107709542449003437e-03
2.330000000000000040e-03,8.076213688801575641e-02,7.663806625850559662e-02,-4.124070629510159791e-03
2.340000000000000066e-03,8.110739942740620434e-02,7.696698499781248759e-02,-4.140414429593716750e-03
2.350000000000000092e-03,8.145264460695510189e-02,7.729590373711937856e-02,-4.156740869835723329e-03
