slip_angle_deg,slip_angle_rad,normalized_fy
-1.037999999999999901e+01,-1.811651763570113760e-01,1.045579345700079710e+00
-1.032000000000000028e+01,-1.801179788058148157e-01,1.045134892915474678e+00
-1.026000000000000156e+01,-1.790707812546182276e-01,1.044664658366194043e+00
-1.019999999999999929e+01,-1.780235837034216118e-01,1.044167991393223138e+00
-1.014000000000000057e+01,-1.769763861522250237e-01,1.043644228257029738e+00
-1.008000000000000185e+01,-1.759291886010284633e-01,1.043092692001417410e+00
-1.001999999999999957e+01,-1.748819910498318198e-01,1.042512692323529055e+00
-9.960000000000000853e+00,-1.738347934986352317e-01,1.041903525450554424e+00
-9.900000000000002132e+00,-1.727875959474386713e-01,1.041264474023716247e+00
-9.839999999999999858e+00,-1.717403983962420277e-01,1.040594806990140064e+00
-9.780000000000001137e+00,-1.706932008450454397e-01,1.039893779503233917e+00
-9.720000000000002416e+00,-1.696460032938488793e-01,1.039160632832229370e+00
-9.660000000000000142e+00,-1.685988057426522357e-01,1.038394594281565997e+00
-9.600000000000001421e+00,-1.675516081914556477e-01,1.037594877120821657e+00
-9.539999999999999147e+00,-1.665044106402590318e-01,1.036760680525923961e+00
-9.480000000000000426e+00,-1.654572130890624437e-01,1.035891189532395451e+00
-9.420000000000001705e+00,-1.644100155378658834e-01,1.034985575001420077e+00
-9.359999999999999432e+00,-1.633628179866692398e-01,1.034042993599540772e+00
-9.300000000000000711e+00,-1.623156204354726517e-01,1.033062587792821896e+00
-9.240000000000001990e+00,-1.612684228842760914e-01,1.032043485856338982e+00
-9.179999999999999716e+00,-1.602212253330794478e-01,1.030984801899881287e+00
-9.120000000000000995e+00,-1.591740277818828597e-01,1.029885635910777530e+00
-9.060000000000002274e+00,-1.581268302306862994e-01,1.028745073814776090e+00
-9.000000000000000000e+00,-1.570796326794896558e-01,1.027562187555938200e+00
-8.940000000000001279e+00,-1.560324351282930955e-01,1.026336035196520058e+00
-8.880000000000002558e+00,-1.549852375770965074e-01,1.025065661037837250e+00
-8.820000000000000284e+00,-1.539380400258998638e-01,1.023750095763134027e+00
-8.760000000000001563e+00,-1.528908424747033035e-01,1.022388356603481041e+00
-8.699999999999999289e+00,-1.518436449235066599e-01,1.020979447527752715e+00
-8.640000000000000568e+00,-1.507964473723100718e-01,1.019522359457744498e+00
-8.580000000000001847e+00,-1.497492498211135115e-01,1.018016070509492499e+00
-8.519999999999999574e+00,-1.487020522699168679e-01,1.016459546261881730e+00
-8.460000000000000853e+00,-1.476548547187203075e-01,1.014851740053615670e+00
-8.400000000000002132e+00,-1.466076571675237195e-01,1.013191593309636040e+00
-8.339999999999999858e+00,-1.455604596163270759e-01,1.011478035898067507e+00
-8.280000000000001137e+00,-1.445132620651305155e-01,1.009709986518769531e+00
-8.220000000000002416e+00,-1.434660645139339274e-01,1.007886353124552326e+00
-8.160000000000000142e+00,-1.424188669627372839e-01,1.006006033376114495e+00
