slip_ratio,normalized_fx
2.200000000000001954e-02,3.772527748763845334e-01
2.400000000000002132e-02,4.079320210252344037e-01
2.600000000000002309e-02,4.377651309656713230e-01
2.800000000000002487e-02,4.667175547768384059e-01
3.000000000000002665e-02,4.947611302598977079e-01
3.200000000000002842e-02,5.218739022265935779e-01
3.400000000000003020e-02,5.480398702830516777e-01
3.600000000000003197e-02,5.732486771969677042e-01
3.800000000000003375e-02,5.974952500831924862e-01
4.000000000000003553e-02,6.207794063646147054e-01
4.200000000000003730e-02,6.431054358367207513e-01
4.400000000000003908e-02,6.644816692647134149e-01
4.600000000000004086e-02,6.849200428504821359e-01
4.800000000000004263e-02,7.044356666969192604e-01
5.000000000000004441e-02,7.230464041349023985e-01
5.200000000000004619e-02,7.407724675194418129e-01
5.400000000000004796e-02,7.576360348908317555e-01
5.600000000000004974e-02,7.736608907679796143e-01
5.800000000000005151e-02,7.888720933179034223e-01
6.000000000000005329e-02,8.032956692420171185e-01
6.200000000000005507e-02,8.169583369426633990e-01
6.400000000000005684e-02,8.298872578825459145e-01
6.600000000000005862e-02,8.421098155204022051e-01
6.800000000000006040e-02,8.536534207901524951e-01
7.000000000000006217e-02,8.645453427771623289e-01
7.200000000000006395e-02,8.748125630222326476e-01
7.400000000000006573e-02,8.844816517390087229e-01
7.600000000000006750e-02,8.935786641513856488e-01
